relation_id,ref_raw,ref_norm,name,network
2071369,AS-04,AS-04,Alimentadora Sur Villa el Salvador,Metropolitano
2071369,AS-04,AS-04,Alimentadora Sur Villa el Salvador,Metropolitano
2071484,AS-02,AS-02,Alimentadora Sur Alameda Sur,Metropolitano
2071484,AS-02,AS-02,Alimentadora Sur Alameda Sur,Metropolitano
2113411,AS-07,AS-07,Alimentadora Sur América (Ida),Metropolitano
2113411,AS-07,AS-07,Alimentadora Sur América (Ida),Metropolitano
2217685,AN-01,AN-01,Alimentadora Norte Tahuantinsuyo,Metropolitano
2217685,AN-01,AN-01,Alimentadora Norte Tahuantinsuyo,Metropolitano
3658015,AN-02,AN-02,Alimentadora Norte Tungasuca,Metropolitano
3658015,AN-02,AN-02,Alimentadora Norte Tungasuca,Metropolitano
3658052,AN-03,AN-03,Alimentadora Norte Trapiche,Metropolitano
3658052,AN-03,AN-03,Alimentadora Norte Trapiche,Metropolitano
3708308,AN-10,AN-10,Alimentadora Norte Santo Domingo,Metropolitano
3708308,AN-10,AN-10,Alimentadora Norte Santo Domingo,Metropolitano
3708309,AN-04,AN-04,Alimentadora Norte Collique,Metropolitano
3708309,AN-04,AN-04,Alimentadora Norte Collique,Metropolitano
3708310,AN-14,AN-14,Alimentadora Norte Bertello,Metropolitano
3708310,AN-14,AN-14,Alimentadora Norte Bertello,Metropolitano
3708311,AN-05,AN-05,Alimentadora Norte Payet,Metropolitano
3708311,AN-05,AN-05,Alimentadora Norte Payet,Metropolitano
3708312,AN-09,AN-09,Alimentadora Norte Carabayllo,Metropolitano
3708312,AN-09,AN-09,Alimentadora Norte Carabayllo,Metropolitano
3708313,AN-12,AN-12,Alimentadora Norte Puente Piedra,Metropolitano
3708313,AN-12,AN-12,Alimentadora Norte Puente Piedra,Metropolitano
3708314,AN-08,AN-08,Alimentadora Norte Milagro de Jesús,Metropolitano
3708314,AN-08,AN-08,Alimentadora Norte Milagro de Jesús,Metropolitano
3708315,AN-07,AN-07,Alimentadora Norte Belaúnde,Metropolitano
3708315,AN-07,AN-07,Alimentadora Norte Belaúnde,Metropolitano
3708316,AN-06,AN-06,Alimentadora Norte Puno,Metropolitano
3708316,AN-06,AN-06,Alimentadora Norte Puno,Metropolitano
3708317,AN-13,AN-13,Alimentadora Norte La Ensenada (ida),Metropolitano
3708317,AN-13,AN-13,Alimentadora Norte La Ensenada (ida),Metropolitano
3708326,AN-15,AN-15,Alimentadora Norte Los Alisos,Metropolitano
3708326,AN-15,AN-15,Alimentadora Norte Los Alisos,Metropolitano
3708327,AN-17,AN-17,Alimentadora Norte Atúnez de Mayolo,Metropolitano
3708327,AN-17,AN-17,Alimentadora Norte Atúnez de Mayolo,Metropolitano
3708328,AN-16,AN-16,Alimentadora Norte Los Olivos (Vuelta),Metropolitano
3708328,AN-16,AN-16,Alimentadora Norte Los Olivos (Vuelta),Metropolitano
3710186,AS-08,AS-08,Alimentadora Sur Los Próceres (Ida),Metropolitano
3710186,AS-08,AS-08,Alimentadora Sur Los Próceres (Ida),Metropolitano
3711957,Metropolitano Gamarra,Metropolitano Gamarra,Alimentadora Gamarra,Metropolitano
3711957,Metropolitano Gamarra,Metropolitano Gamarra,Alimentadora Gamarra,Metropolitano
9726114,AN-16,AN-16,Alimentadora Norte Los Olivos (Ida),Metropolitano
9726114,AN-16,AN-16,Alimentadora Norte Los Olivos (Ida),Metropolitano
9726392,AN-13,AN-13,Alimentadora Norte La Ensenada (vuelta),Metropolitano
9726392,AN-13,AN-13,Alimentadora Norte La Ensenada (vuelta),Metropolitano
9726949,AS-07,AS-07,Alimentadora Sur América (Vuelta),Metropolitano
9726949,AS-07,AS-07,Alimentadora Sur América (Vuelta),Metropolitano
9726963,AS-08,AS-08,Alimentadora Sur Los Próceres (Vuelta),Metropolitano
9726963,AS-08,AS-08,Alimentadora Sur Los Próceres (Vuelta),Metropolitano
