order,stop_id,stop_name,url
1,1001749,CEV Polar,https://wikiroutes.info/es/stops/1001749
2,827094,Pezet,https://wikiroutes.info/es/stops/827094
3,1001732,La Torre,https://wikiroutes.info/es/stops/1001732
4,1001733,Coronel Portillo,https://wikiroutes.info/es/stops/1001733
5,1001734,Residencial Santa Cruz,https://wikiroutes.info/es/stops/1001734
6,1001736,Parque Hermasia Paget,https://wikiroutes.info/es/stops/1001736
7,1001739,Alberto Ulloa,https://wikiroutes.info/es/stops/1001739
8,1001740,Paz Soldán,https://wikiroutes.info/es/stops/1001740
9,1001741,Ernesto Plasencia,https://wikiroutes.info/es/stops/1001741
10,1001742,El Olívar,https://wikiroutes.info/es/stops/1001742
11,1001743,Paz Soldán,https://wikiroutes.info/es/stops/1001743
12,1001744,Las Palmeras,https://wikiroutes.info/es/stops/1001744
13,1001746,Los Cedros,https://wikiroutes.info/es/stops/1001746
14,1001747,Barcelona,https://wikiroutes.info/es/stops/1001747
15,1001748,Daniel Alcides Carrión,https://wikiroutes.info/es/stops/1001748
16,827091,Javier Prado,https://wikiroutes.info/es/stops/827091
17,1001749,CEV Polar,https://wikiroutes.info/es/stops/1001749
